User ID,Target Manager,Object Name,Object ID,Object abbr,Mail ID,Country Name,Country,Last Name,First Name,Changed Date
ABC001,,CI/RXA,55005501,CI,Anne.Green@company.com,Germany,DE,Green,Anne,20220607
ABC002,55005501,CI/RXA,55005502,CI,Brian.Black@company.com,Germany,DE,Black,Brian,20220607
ABC003,55005501,CI/RXA,55005503,CI,Clare.White@company.com,Germany,DE,White,Clare,20220607
ABC004,55005501,CI/RXA,55005504,CI,David.Hill@company.com,Germany,DE,Hill,David,20220607
ABC005,55005501,CI/RXA,55005505,CI,Ella.Mountain@company.com,Germany,DE,Mountain,Ella,20220607
ABC006,55005501,CI/RXA,55005506,CI,Fred.River@company.com,Germany,DE,River,Fred,20220607
ABC007,55005506,CI/RXA,55005507,CI,Gina.House@company.com,Germany,DE,House,Gina,20220607
ABC008,55005506,CI/RXA,55005508,CI,Harry.Young@company.com,Germany,DE,Young,Harry,20220607
ABC009,55005506,CI/RXA,55005509,CI,Isabel.Smith@company.com,Germany,DE,Smith,Isabel,20220607
ABC010,55005506,CI/RXA,55005510,CI,John.Brown@company.com,Germany,DE,Brown,John,20220607
ABC011,55005506,CI/RXA,55005511,CI,Karen.Walker@company.com,Germany,DE,Walker,Karen,20220607
ABC012,55005506,CI/RXA,55005512,CI,Louis.Collins@company.com,Germany,DE,Collins,Louis,20220607
ABC013,55005505,CI/RXA,55005513,CI,Michela.Rutherford@company.com,Germany,DE,Rutherford,Michela,20220607
ABC014,55005505,CI/RXA,55005514,CI,Norman.Wilson@company.com,Germany,DE,Wilson,Norman,20220607
ABC015,55005505,CI/RXA,55005515,CI,Olive.Cameron@company.com,Germany,DE,Cameron,Olive,20220607
ABC016,55005505,CI/RXA,55005516,CI,Paul.Forsyth@company.com,Germany,DE,Forsyth,Paul,20220607
ABC017,55005505,CI/RXA,55005517,CI,Queenie.Phillips@company.com,Germany,DE,Phillips,Queenie,20220607
ABC018,55005511,CI/RXA,55005518,CI,Richard.Edwards@company.com,Germany,DE,Edwards,Richard,20220607
ABC019,55005510,CI/RXA,55005519,CI,Sarah.Hamilton@company.com,Germany,DE,Hamilton,Sarah,20220607
ABC020,55005510,CI/RXA,55005520,CI,Terry.McKay@company.com,Germany,DE,McKay,Terry,20220607
